id,audio_path,dataset,subset,instrument,instrument_id,uuid
0e4371ac-1c6a-51ab-fdb7-f8abd5fbf1a3,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_0e4371ac-1c6a-51ab-fdb7-f8abd5fbf1a3.wav,medley-solo-db,test,clarinet,0,0e4371ac-1c6a-51ab-fdb7-f8abd5fbf1a3
33383119-fd64-59c1-f596-d1a23e8a0eff,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_33383119-fd64-59c1-f596-d1a23e8a0eff.wav,medley-solo-db,test,clarinet,0,33383119-fd64-59c1-f596-d1a23e8a0eff
b2b7a288-e169-5642-fced-b509c06b11fc,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_b2b7a288-e169-5642-fced-b509c06b11fc.wav,medley-solo-db,test,clarinet,0,b2b7a288-e169-5642-fced-b509c06b11fc
151b6ee4-313a-58d9-fbcb-bab73e0d426b,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_151b6ee4-313a-58d9-fbcb-bab73e0d426b.wav,medley-solo-db,test,clarinet,0,151b6ee4-313a-58d9-fbcb-bab73e0d426b
b43999d1-9b5e-557f-f9bc-1b3759659858,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_b43999d1-9b5e-557f-f9bc-1b3759659858.wav,medley-solo-db,test,clarinet,0,b43999d1-9b5e-557f-f9bc-1b3759659858
0e5669a9-9f3c-5fa3-fc80-44dc905d16f2,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_0e5669a9-9f3c-5fa3-fc80-44dc905d16f2.wav,medley-solo-db,test,clarinet,0,0e5669a9-9f3c-5fa3-fc80-44dc905d16f2
3befab3f-a98f-54f1-fb82-9b42d8db3b9b,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_3befab3f-a98f-54f1-fb82-9b42d8db3b9b.wav,medley-solo-db,test,clarinet,0,3befab3f-a98f-54f1-fb82-9b42d8db3b9b
4952e0ab-8d5f-5f06-fdff-b58a7a69b508,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_4952e0ab-8d5f-5f06-fdff-b58a7a69b508.wav,medley-solo-db,test,clarinet,0,4952e0ab-8d5f-5f06-fdff-b58a7a69b508
d3e88344-2497-53cc-fcb0-801092440e44,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_d3e88344-2497-53cc-fcb0-801092440e44.wav,medley-solo-db,test,clarinet,0,d3e88344-2497-53cc-fcb0-801092440e44
e2f5ab6f-6383-5fac-f5b7-9314316ab0f5,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_e2f5ab6f-6383-5fac-f5b7-9314316ab0f5.wav,medley-solo-db,test,clarinet,0,e2f5ab6f-6383-5fac-f5b7-9314316ab0f5
ab835a82-1c7b-5898-fc6f-f943cae3942f,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_ab835a82-1c7b-5898-fc6f-f943cae3942f.wav,medley-solo-db,test,clarinet,0,ab835a82-1c7b-5898-fc6f-f943cae3942f
5929eb43-fe79-5825-f12b-5ee99a5e1a38,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_5929eb43-fe79-5825-f12b-5ee99a5e1a38.wav,medley-solo-db,test,clarinet,0,5929eb43-fe79-5825-f12b-5ee99a5e1a38
eedc1146-90cc-5407-f572-b71d0207dbd1,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_eedc1146-90cc-5407-f572-b71d0207dbd1.wav,medley-solo-db,test,clarinet,0,eedc1146-90cc-5407-f572-b71d0207dbd1
bdcc7d1f-d778-57c1-f919-9e8dd1ff2e7d,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_bdcc7d1f-d778-57c1-f919-9e8dd1ff2e7d.wav,medley-solo-db,test,clarinet,0,bdcc7d1f-d778-57c1-f919-9e8dd1ff2e7d
2520005f-facd-5044-f9a0-81525bf3fe48,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_2520005f-facd-5044-f9a0-81525bf3fe48.wav,medley-solo-db,test,clarinet,0,2520005f-facd-5044-f9a0-81525bf3fe48
466713d3-2737-5b2b-f599-dd92241cf10e,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_466713d3-2737-5b2b-f599-dd92241cf10e.wav,medley-solo-db,test,clarinet,0,466713d3-2737-5b2b-f599-dd92241cf10e
06c09d70-f855-5cf6-fe2b-5d88dc2d3336,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_06c09d70-f855-5cf6-fe2b-5d88dc2d3336.wav,medley-solo-db,test,clarinet,0,06c09d70-f855-5cf6-fe2b-5d88dc2d3336
bf3a6c44-1148-59e9-f045-abd881b0ba46,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_bf3a6c44-1148-59e9-f045-abd881b0ba46.wav,medley-solo-db,test,clarinet,0,bf3a6c44-1148-59e9-f045-abd881b0ba46
a0bccd1f-797b-561e-fccd-e872842de7a9,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_a0bccd1f-797b-561e-fccd-e872842de7a9.wav,medley-solo-db,test,clarinet,0,a0bccd1f-797b-561e-fccd-e872842de7a9
9cd5353e-c8e4-5faa-f7ed-6e87c6c75abb,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_9cd5353e-c8e4-5faa-f7ed-6e87c6c75abb.wav,medley-solo-db,test,clarinet,0,9cd5353e-c8e4-5faa-f7ed-6e87c6c75abb
23418aea-130f-5f29-f38b-89568ebccf3e,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_23418aea-130f-5f29-f38b-89568ebccf3e.wav,medley-solo-db,test,clarinet,0,23418aea-130f-5f29-f38b-89568ebccf3e
d627592f-1d3a-534f-fef0-a82606760b53,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_d627592f-1d3a-534f-fef0-a82606760b53.wav,medley-solo-db,test,clarinet,0,d627592f-1d3a-534f-fef0-a82606760b53
5b7a5d3f-32bf-53b2-f3ee-864536f99815,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_5b7a5d3f-32bf-53b2-f3ee-864536f99815.wav,medley-solo-db,test,clarinet,0,5b7a5d3f-32bf-53b2-f3ee-864536f99815
32450368-9309-5779-fc4b-e12671c10272,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_32450368-9309-5779-fc4b-e12671c10272.wav,medley-solo-db,test,clarinet,0,32450368-9309-5779-fc4b-e12671c10272
661bc943-f187-5283-f070-60bc62b1be15,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_661bc943-f187-5283-f070-60bc62b1be15.wav,medley-solo-db,test,clarinet,0,661bc943-f187-5283-f070-60bc62b1be15
05efe920-6a23-5623-f221-3a26eafcd29a,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_05efe920-6a23-5623-f221-3a26eafcd29a.wav,medley-solo-db,test,clarinet,0,05efe920-6a23-5623-f221-3a26eafcd29a
8b3f8c54-4552-5456-f63f-d5d63e6f7a81,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_8b3f8c54-4552-5456-f63f-d5d63e6f7a81.wav,medley-solo-db,test,clarinet,0,8b3f8c54-4552-5456-f63f-d5d63e6f7a81
b7b8bf3a-29ca-52e1-f28e-dc26782d7366,D:\Codes\tokenizer-evaluation\data\medley-solos-db\audio\Medley-solos-DB_test-0_b7b8bf3a-29ca-52e1-f28e-dc26782d7366.wav,medley-solo-db,test,clarinet,0,b7b8bf3a-29ca-52e1-f28e-dc26782d7366
